EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	13:55:06	4	0.0001	2313.3446340936644	0.3166202902793884	0.6331348761228652	0.8472907684209642	0.8475329478218132
2	14:04:46	4	0.0000	1638.5098522070039	0.2758214473724365	0.5508181670154153	0.8786361756266072	0.8862110888081701
3	14:14:27	4	0.0000	1259.3912218838668	0.3097626864910126	0.6194278639315924	0.8595174952665411	0.8644549632715599
4	14:24:07	4	0.0000	883.7516457818929	0.2601718008518219	0.5185430705254933	0.8725228533555857	0.8762643045969324
5	14:33:44	4	0.0000	688.3765298853687	0.2718108594417572	0.5435480312062725	0.8857753390645648	0.8913825666673623
6	14:43:20	4	0.0000	492.4645283851405	0.2735089361667633	0.5461815278352644	0.8932553268598383	0.8975415559281836
7	14:52:56	4	0.0000	337.1847180028017	0.20692971348762512	0.41383227389692057	0.9036994211490227	0.9024874729397034
8	15:02:34	4	0.0000	242.4973734139703	0.22236496210098267	0.44455708801396443	0.8943772022756041	0.8974033559099162
9	15:12:07	4	0.0000	182.0693151528808	0.2141766995191574	0.4282463740568411	0.8971787730155847	0.9012587366740734
10	15:36:06	4	0.0000	132.2967881709501	0.21018554270267487	0.4202599183379003	0.9009632952942277	0.9031037463771407
