EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	17:23:29	4	0.0001	4908.498714947607	1.4872695207595825	2.9701495909331928	0.7466596506702521	0.7379093764845694
2	17:33:03	4	0.0000	2505.195356465112	0.37227463722229004	0.7435840458789977	0.8221996723233274	0.8228877009586937
3	17:42:28	4	0.0000	1502.5956895824638	0.334148108959198	0.6682767973300607	0.8732020124774597	0.8764505029184038
4	17:51:45	4	0.0000	1127.5823704258946	0.30517035722732544	0.6078025547233983	0.8793919712827397	0.8853270802145701
5	18:01:07	4	0.0000	764.952163372247	0.2828645706176758	0.5616394404827957	0.8779246811317362	0.8827905370369131
6	18:10:26	4	0.0000	523.2422681665412	0.23651494085788727	0.4727426399461172	0.893660805558373	0.8959365488537652
7	18:19:48	4	0.0000	368.20909133216264	0.23273926973342896	0.4652652508121775	0.8959038201154487	0.8986295889755501
8	18:29:13	4	0.0000	249.05237646131263	0.22507403790950775	0.4492427968076478	0.8873723550434683	0.8898678956539479
9	18:38:26	4	0.0000	168.7023918996956	0.23617707192897797	0.4705279929096234	0.8939799135828167	0.9024165305442599
10	18:47:37	4	0.0000	108.21465359952072	0.21968764066696167	0.4388396093517234	0.8974828195103425	0.9008212256642528
